"Region","Seed","Team","Sagarin.rating","Win%"
"South",1,"Alabama",92.23,16.9
"South",2,"Arizona",89.86,5.9
"South",3,"Baylor",87.36,1.6
"South",4,"Virginia",80.66,0
"South",5,"San Diego State",85.19,0.7
"South",6,"Creighton",87.63,1.3
"South",7,"Missouri",82.38,0
"South",8,"Maryland",85.47,0.5
"South",9,"West Virginia",85.86,0.9
"South",10,"Utah State",84.12,0
"South",11,"NC State",83.25,0.1
"South",12,"Charleston",80.69,0.1
"South",13,"Furman",79.48,0
"South",14,"UC Santa Barbara",76.41,0
"South",15,"Princeton",76.31,0
"South",16,"TAMU-CC",70.24,0
"East",1,"Purdue",89.16,6.09999999999999
"East",2,"Marquette",87.51,3.2
"East",3,"Kansas State",85.34,0.9
"East",4,"Tennessee",89.28,4.7
"East",5,"Duke",87.34,1.5
"East",6,"Kentucky",85.95,0.6
"East",7,"Michigan State",84.93,0.7
"East",8,"Memphis",86.53,1.4
"East",9,"Florida Atlantic",83.66,0.2
"East",10,"Southern California",84.12,0.4
"East",11,"Providence",84.12,0.3
"East",12,"Oral Roberts",80.49,0
"East",13,"Louisiana",77.42,0
"East",14,"Montana State",74.72,0
"East",15,"Vermont",76.74,0
"East",16,"FDU",63.86,0
"Midwest",1,"Houston",91.85,13.7
"Midwest",2,"Texas",90.46,6.89999999999999
"Midwest",3,"Xavier-Ohio",86.5,0.7
"Midwest",4,"Indiana",86.21,1.4
"Midwest",5,"Miami-Florida",84.18,0.2
"Midwest",6,"Iowa State",84.82,0.6
"Midwest",7,"Texas A&M",86.08,0.9
"Midwest",8,"Iowa",84.85,0.2
"Midwest",9,"Auburn",85.32,0.6
"Midwest",10,"Penn State",83.88,0
"Midwest",11,"Pittsburgh",81.54,0
"Midwest",12,"Drake",81.9,0
"Midwest",13,"Kent State",81.09,0
"Midwest",14,"Kennesaw State",73.1,0
"Midwest",15,"Colgate",76.13,0
"Midwest",16,"Northern Kentucky",72.62,0
"West",1,"Kansas",89.95,4.6
"West",2,"UCLA",91.21,8.49999999999999
"West",3,"Gonzaga",90.47,6.69999999999999
"West",4,"Connecticut",90.07,4.6
"West",5,"Saint Mary's-Cal.",86.43,0.9
"West",6,"TCU",85.95,0.4
"West",7,"Northwestern",83.93,0.2
"West",8,"Arkansas",85.76,0.3
"West",9,"Illinois",85.3,0.2
"West",10,"Boise State",81.89,0.1
"West",11,"Arizona State",80.99,0.1
"West",12,"VCU(Va. Commonwealth)",83.45,0.2
"West",13,"Iona",79.69,0
"West",14,"Grand Canyon",76,0
"West",15,"NC Asheville",72.84,0
"West",16,"Howard",69,0
